X,Y,Comuna,Interseccion,Numero,Fallecidos
-70.59274920156587,-33.53560037097283,LA FLORIDA,1,0,0
-70.60328329740925,-33.528165191175,LA FLORIDA,1,0,0
-70.6008838,-33.527868200000015,LA FLORIDA,0,502,0
-70.57162646418662,-33.53974027036151,LA FLORIDA,1,0,0
-70.61046636365128,-33.56196489601821,LA FLORIDA,1,0,0
-70.59239340013528,-33.55789440030628,LA FLORIDA,0,600,0
-70.60856291284813,-33.510813665418254,LA FLORIDA,0,6100,0
-70.61046636213274,-33.56196489646268,LA FLORIDA,1,0,0
-70.56621278639096,-33.55029018904095,LA FLORIDA,1,0,0
-70.55945650686034,-33.55921918144407,LA FLORIDA,0,2386,0
-70.58618252912618,-33.512132597581555,LA FLORIDA,1,0,0
-70.54776060007146,-33.52360979955244,LA FLORIDA,0,9282,0
-70.55798871740535,-33.46777747405116,PEÑALOLEN,1,0,0
-70.5395341,-33.4620151,PEÑALOLEN,1,0,0
-70.57568302868991,-33.506260760508816,PEÑALOLEN,0,5810,0
-70.53742351136711,-33.47253988625099,PEÑALOLEN,0,9053,0
-70.5387418863743,-33.47224395299568,PEÑALOLEN,1,0,0
-70.56107811346402,-33.50216600585636,PEÑALOLEN,1,0,0
-70.56093595852764,-33.466946772075794,PEÑALOLEN,1,0,0
-70.5670977604764,-33.470866817733246,PEÑALOLEN,0,6468,0
-70.53513437395213,-33.50119921397249,PEÑALOLEN,0,10000,0
-70.54778448465302,-33.47479627893298,PEÑALOLEN,1,0,0
-70.56089163903789,-33.50852913920836,PEÑALOLEN,1,0,0
-70.56960303942431,-33.47707314470407,PEÑALOLEN,1,0,0
-70.55345673144285,-33.48041791305608,PEÑALOLEN,1,0,0
-70.55514719069025,-33.473419980647535,PEÑALOLEN,1,0,0
-70.68268039505007,-33.43389458403664,QUINTA NORMAL,1,0,0
-70.69397213370695,-33.42650184858139,QUINTA NORMAL,1,0,0
-70.68027627838379,-33.43583904748941,QUINTA NORMAL,1,0,0
-70.71452,-33.4263322,QUINTA NORMAL,0,1627,0
-70.69786916862705,-33.41417746012154,QUINTA NORMAL,0,1172,0
-70.68476918739925,-33.43289225354195,QUINTA NORMAL,0,3644,0
-70.70187198049854,-33.44010769694352,QUINTA NORMAL,0,4870,0
-70.69201845638662,-33.43931018651584,QUINTA NORMAL,1,0,0
-70.70910168827933,-33.420420790894525,QUINTA NORMAL,1,0,0
-70.72124379956153,-33.43521388521247,QUINTA NORMAL,1,0,0
-70.71586357194249,-33.415102167937945,QUINTA NORMAL,1,0,0
-70.6800767888127,-33.43844260784006,QUINTA NORMAL,1,0,0
-70.70391833246504,-33.43693585850303,QUINTA NORMAL,1,0,0
-70.75100064151867,-33.45587035391979,PUDAHUEL,1,0,0
-70.7344043,-33.4553353,PUDAHUEL,0,7000,0
-70.76895496776457,-33.442941840936555,PUDAHUEL,1,0,0
