X,Y,FID,ICOUNT,Año,Cód_Comuna,Comuna,Cód_Región,Región,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.685228766494333,-33.579100196516833,78,2,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LO BLANCO,FRANCISCO DE CAMARGO,0,LO BLANCO / FRANCISCO DE CAMARGO,0,0,1,1,2
-70.682764589014539,-33.563992462082417,79,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,GRAN AVENIDA JOSE MIGUEL CARRERA,CLAUDIO ARRAU,0,GRAN AVENIDA JOSE MIGUEL CARRERA / CLAUDIO ARRAU,0,0,0,1,1
-70.681722063422455,-33.57150963516149,80,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LOS CIPRESES,LOS CAROLINOS,0,LOS CIPRESES / LOS CAROLINOS,0,0,0,1,1
-70.680622858058427,-33.576718951818108,81,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,SANTA CRUZ,CHEPICA,0,SANTA CRUZ / CHEPICA,0,0,0,1,1
-70.678563616517636,-33.565153119021211,82,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,CLAUDIO ARRAU,MOZART,0,CLAUDIO ARRAU / MOZART,0,1,0,0,1
-70.674532057408499,-33.566033992374798,83,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,CLAUDIO ARRAU,SAN FLORENCIO,0,CLAUDIO ARRAU / SAN FLORENCIO,0,0,0,1,1
-70.673593125622233,-33.571317617314151,84,2,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LO MARTINEZ,LOS MORROS,0,LO MARTINEZ / LOS MORROS,0,2,0,0,2
-70.673384451431275,-33.570883194403848,85,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LOS MORROS,LOS CIERVOS,0,LOS MORROS / LOS CIERVOS,0,2,0,1,1
-70.672884443662099,-33.568845603142059,86,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LOS MORROS,EL LIBERTADOR,0,LOS MORROS / EL LIBERTADOR,0,0,1,0,1
-70.67267250043551,-33.574655100352565,87,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,COQUIMBO, ,650,COQUIMBO 650,0,0,0,0,1
-70.672234015287529,-33.566461861026021,88,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LOS MORROS,EL CONQUISTADOR,0,LOS MORROS / EL CONQUISTADOR,0,0,0,1,1
-70.672017617718836,-33.565923702217042,89,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LOS MORROS,LAS PERDICES,0,LOS MORROS / LAS PERDICES,0,1,0,0,1
-70.670035628841163,-33.571929892850214,90,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LO MARTINEZ, ,1070,LO MARTINEZ 1070,0,0,0,1,1
-70.667283566683238,-33.573788190772355,91,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,YUMBEL,TEMUCO,0,YUMBEL / TEMUCO,0,0,0,1,1
-70.666944235388087,-33.568249015379706,92,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LOS RAULIES, ,11467,LOS RAULIES 11467,0,0,0,1,1
-70.666906802007247,-33.573856393557669,93,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,QUILLECO,TEMUCO,0,QUILLECO / TEMUCO,0,0,0,1,1
-70.796934144195347,-33.522744401732744,94,1,2013,13119,MAIPU,13,REGION METROPOLITANA,EL CONQUISTADOR,LA CASTELLANA,0,EL CONQUISTADOR / LA CASTELLANA,0,0,1,0,1
-70.79347932571028,-33.531882524558796,95,1,2013,13119,MAIPU,13,REGION METROPOLITANA,ALFREDO SILVA CARVALLO,4 PONIENTE,0,ALFREDO SILVA CARVALLO / 4 PONIENTE,0,0,0,1,1
-70.791907457363209,-33.524896810339506,96,1,2013,13119,MAIPU,13,REGION METROPOLITANA,NUEVA SAN MARTIN,4 PONIENTE,0,NUEVA SAN MARTIN / 4 PONIENTE,0,0,0,1,1
-70.79019369668174,-33.53864500366393,97,1,2013,13119,MAIPU,13,REGION METROPOLITANA,PRESIDENTE GABRIEL GONZALEZ VIDELA,LOS VILOS,0,PRESIDENTE GABRIEL GONZALEZ VIDELA / LOS VILOS,0,1,0,0,1
-70.788070724684133,-33.526065043167137,98,1,2013,13119,MAIPU,13,REGION METROPOLITANA,GERMAN GARCES,LAS TACAS ORIENTE,0,GERMAN GARCES / LAS TACAS ORIENTE,0,0,0,1,1
-70.786333106787424,-33.535820348230445,99,1,2013,13119,MAIPU,13,REGION METROPOLITANA,PRESIDENTE GABRIEL GONZALEZ VIDELA,CABO DE HORNOS,0,PRESIDENTE GABRIEL GONZALEZ VIDELA / CABO DE HORNOS,0,0,0,1,1
-70.779244332060216,-33.524534169516251,100,1,2013,13119,MAIPU,13,REGION METROPOLITANA,3 PONIENTE,NUEVA SAN MARTIN,0,3 PONIENTE / NUEVA SAN MARTIN,0,0,1,0,1
-70.778226751863087,-33.542285413441043,101,1,2013,13119,MAIPU,13,REGION METROPOLITANA,CAMINO A MELIPILLA,EGIPTO,0,CAMINO A MELIPILLA / EGIPTO,1,0,0,0,1
-70.777168915313155,-33.522396000774819,102,1,2013,13119,MAIPU,13,REGION METROPOLITANA,CAROLINA SAN MARTIN,LOS ANGLICANOS,0,CAROLINA SAN MARTIN / LOS ANGLICANOS,0,0,0,1,1
-70.775401453414304,-33.524552474317197,103,1,2013,13119,MAIPU,13,REGION METROPOLITANA,NUEVA SAN MARTIN,EL OLIMPO,0,NUEVA SAN MARTIN / EL OLIMPO,0,0,0,1,1
-70.775336332605605,-33.521514381883151,104,1,2013,13119,MAIPU,13,REGION METROPOLITANA,SUR,EL OLIMPO,0,SUR / EL OLIMPO,0,0,1,0,1
-70.774828701283525,-33.5315204835834,105,1,2013,13119,MAIPU,13,REGION METROPOLITANA,3 PONIENTE,ALFREDO SILVA CARVALLO,0,3 PONIENTE / ALFREDO SILVA CARVALLO,0,0,0,1,1
-70.77267370262922,-33.530223243907521,106,1,2013,13119,MAIPU,13,REGION METROPOLITANA,EL OLIMPO,ALFREDO SILVA CARVALLO,0,EL OLIMPO / ALFREDO SILVA CARVALLO,0,0,0,1,1
-70.769114082548811,-33.528174039700097,107,1,2013,13119,MAIPU,13,REGION METROPOLITANA,ALFREDO SILVA CARVALLO, ,520,ALFREDO SILVA CARVALLO 520,0,0,1,0,1
-70.766890346911964,-33.524759786035247,108,1,2013,13119,MAIPU,13,REGION METROPOLITANA,LOS CESARES, ,773,LOS CESARES 773,0,0,0,1,1
-70.796415700324246,-33.504914799878073,109,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS, ,3039,LIBERTADOR BERNARDO O`HIGGINS 3039,0,0,0,1,1
-70.796267928222278,-33.506829725411478,110,2,2013,13119,MAIPU,13,REGION METROPOLITANA,LA GALAXIA,CAMINO A RINCONADA,0,LA GALAXIA / CAMINO A RINCONADA,0,0,0,2,2
-70.796176100246782,-33.504861300108885,111,3,2013,13101,SANTIAGO,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS, ,2085,LIBERTADOR BERNARDO O`HIGGINS 2085,0,1,0,2,3
-70.791388842620961,-33.505504650818928,112,1,2013,13119,MAIPU,13,REGION METROPOLITANA,CAMINO A RINCONADA,4 PONIENTE,0,CAMINO A RINCONADA / 4 PONIENTE,0,0,0,1,1
-70.791299527351271,-33.519193564431426,113,1,2013,13119,MAIPU,13,REGION METROPOLITANA,PORTALES,4 PONIENTE,0,PORTALES / 4 PONIENTE,0,0,0,1,1
-70.790829150444893,-33.513232730206305,114,1,2013,13119,MAIPU,13,REGION METROPOLITANA,AGUA SANTA,4 PONIENTE,0,AGUA SANTA / 4 PONIENTE,0,0,0,2,1
-70.786340315752909,-33.506263986193986,115,1,2013,13119,MAIPU,13,REGION METROPOLITANA,PANGAL, ,2051,PANGAL 2051,0,1,0,0,1
-70.782926308502283,-33.505983522721358,116,1,2013,13119,MAIPU,13,REGION METROPOLITANA,LOS PRUSIANOS, ,2417,LOS PRUSIANOS 2417,0,0,1,0,1
-70.782557522611512,-33.518309172929946,117,1,2013,13119,MAIPU,13,REGION METROPOLITANA,SIGLO XX,PORTALES,0,SIGLO XX / PORTALES,0,0,0,2,1
-70.779275916250469,-33.508563203728848,118,2,2013,13119,MAIPU,13,REGION METROPOLITANA,CAMINO A RINCONADA,3 PONIENTE,0,CAMINO A RINCONADA / 3 PONIENTE,0,0,0,2,2
-70.779170340338908,-33.518244438829761,119,1,2013,13119,MAIPU,13,REGION METROPOLITANA,3 PONIENTE,PORTALES,0,3 PONIENTE / PORTALES,0,0,0,1,1
-70.779169110965654,-33.517730283825479,120,1,2013,13119,MAIPU,13,REGION METROPOLITANA,3 PONIENTE,ANGOSTURA,0,3 PONIENTE / ANGOSTURA,0,0,0,2,1
-70.779124822052836,-33.51163949486677,121,3,2013,13119,MAIPU,13,REGION METROPOLITANA,3 PONIENTE,JOSE MANUEL BORGONO,0,3 PONIENTE / JOSE MANUEL BORGONO,0,0,2,1,3
-70.775545921407115,-33.509346193971609,122,3,2013,13119,MAIPU,13,REGION METROPOLITANA,EL OLIMPO,CAMINO A RINCONADA,0,EL OLIMPO / CAMINO A RINCONADA,1,0,0,2,3
-70.775498039702711,-33.511955019308637,123,1,2013,13119,MAIPU,13,REGION METROPOLITANA,EL OLIMPO,JOSE MANUEL BORGONO,0,EL OLIMPO / JOSE MANUEL BORGONO,0,0,0,1,1
-70.77546579630939,-33.512915586085391,124,1,2013,13119,MAIPU,13,REGION METROPOLITANA,EL OLIMPO,GRECIA,0,EL OLIMPO / GRECIA,0,0,0,2,1
-70.775390246962274,-33.518109095358405,125,1,2013,13119,MAIPU,13,REGION METROPOLITANA,PORTALES,EL OLIMPO,0,PORTALES / EL OLIMPO,0,0,0,1,1
-70.769070237901133,-33.51160316855136,126,1,2013,13119,MAIPU,13,REGION METROPOLITANA,PADRE HURTADO,JOSE MANUEL BORGONO,0,PADRE HURTADO / JOSE MANUEL BORGONO,0,0,0,1,1
-70.77562207869596,-33.502689745835085,127,1,2013,13119,MAIPU,13,REGION METROPOLITANA,EL OLIMPO,LIBERTADOR BERNARDO O`HIGGINS,0,EL OLIMPO / LIBERTADOR BERNARDO O`HIGGINS,0,0,0,1,1
-70.774892487498278,-33.497919348698936,128,1,2013,13119,MAIPU,13,REGION METROPOLITANA,EL OLIMPO, ,3205,EL OLIMPO 3205,0,0,0,1,1
-70.763536227315001,-33.51241024443722,129,1,2013,13119,MAIPU,13,REGION METROPOLITANA,DEL PONTIFICE,EL CARMEN,0,DEL PONTIFICE / EL CARMEN,0,0,0,1,1
-70.760881036530577,-33.525409112740299,130,1,2013,13119,MAIPU,13,REGION METROPOLITANA,NUEVA SAN MARTIN,LEOPOLDO INFANTE,0,NUEVA SAN MARTIN / LEOPOLDO INFANTE,0,0,0,1,1
-70.759921560631483,-33.510658872309087,131,1,2013,13119,MAIPU,13,REGION METROPOLITANA,MANUEL RODRIGUEZ,5 DE ABRIL,0,MANUEL RODRIGUEZ / 5 DE ABRIL,0,0,0,1,1
-70.758847100113542,-33.509655600325637,132,1,2013,13119,MAIPU,13,REGION METROPOLITANA,MONUMENTO, ,1950,MONUMENTO 1950,0,0,0,2,1
-70.758826196271912,-33.511731039555798,133,1,2013,13119,MAIPU,13,REGION METROPOLITANA,CARMEN LUISA CORREA,MONUMENTO,0,CARMEN LUISA CORREA / MONUMENTO,0,0,0,1,1
